0,320100,20180601,552,1358
1,320100,20180602,736,2306
2,320100,20180603,546,2386
3,320100,20180604,674,2236
4,320100,20180605,525,1936
5,320100,20180606,519,1953
6,320100,20180607,614,2593
7,320200,20180601,2841,6663
8,320200,20180602,2516,7298
9,320200,20180603,2304,7180
10,320200,20180604,2571,9082
11,320200,20180605,2429,8658
12,320200,20180606,2553,8121
13,320200,20180607,2584,8656
14,320300,20180601,845,1571
15,320300,20180602,919,2588
16,320300,20180603,826,2443
17,320300,20180604,754,2750
18,320300,20180605,846,2596
19,320300,20180606,800,2418
20,320300,20180607,898,3140
21,320400,20180601,2211,5213
22,320400,20180602,1691,6366
23,320400,20180603,1611,6097
24,320400,20180604,1877,7107
25,320400,20180605,1727,6820
26,320400,20180606,1754,6805
27,320400,20180607,1998,7312
28,320500,20180601,867,2555
29,320500,20180602,815,3134
30,320500,20180603,602,3124
31,320500,20180604,852,4121
32,320500,20180605,703,4207
33,320500,20180606,740,3987
34,320500,20180607,802,4086
35,320600,20180601,651,1522
36,320600,20180602,628,1838
37,320600,20180603,539,1804
38,320600,20180604,670,2374
39,320600,20180605,624,1974
40,320600,20180606,602,1935
41,320600,20180607,605,2023
42,320700,20180601,323,668
43,320700,20180602,403,943
44,320700,20180603,342,962
45,320700,20180604,430,979
46,320700,20180605,414,890
47,320700,20180606,303,929
48,320700,20180607,298,984
49,320800,20180601,639,1278
50,320800,20180602,696,1634
51,320800,20180603,648,1639
52,320800,20180604,651,1481
53,320800,20180605,647,1518
54,320800,20180606,598,1666
55,320800,20180607,621,1721
56,320900,20180601,387,923
57,320900,20180602,392,1174
58,320900,20180603,363,1200
59,320900,20180604,392,1278
60,320900,20180605,340,1092
61,320900,20180606,347,1150
62,320900,20180607,344,1254
63,321000,20180601,404,1175
64,321000,20180602,441,1388
65,321000,20180603,293,1326
66,321000,20180604,395,1797
67,321000,20180605,357,1564
68,321000,20180606,373,1497
69,321000,20180607,363,1688
70,321100,20180601,389,1162
71,321100,20180602,399,1385
72,321100,20180603,292,1259
73,321100,20180604,421,1661
74,321100,20180605,367,1491
75,321100,20180606,391,1488
76,321100,20180607,394,1642
77,321200,20180601,244,646
78,321200,20180602,302,860
79,321200,20180603,271,857
80,321200,20180604,317,1204
81,321200,20180605,270,857
82,321200,20180606,286,914
83,321200,20180607,250,874
84,321300,20180601,384,1088
85,321300,20180602,513,1469
86,321300,20180603,433,1367
87,321300,20180604,476,1477
88,321300,20180605,446,1400
89,321300,20180606,443,1462
90,321300,20180607,452,1568
